16 , -10.708 , 3.142
32 , -17.538 , 1.871
48 , -20.992 , -1.549
64 , -23.047 , -1.585
80 , -17.149 , 1.599
96 , -16.718 , 1.611
112 , -23.250 , 1.723
128 , -17.772 , 1.623
144 , -11.542 , 1.612
160 , -10.381 , 1.605
176 , -7.488 , 1.636
192 , -4.669 , 1.652
208 , -3.306 , 1.645
224 , -9.685 , 1.888
240 , 24.684 , 1.744
256 , 4.937 , -1.490
272 , 1.625 , -1.473
288 , -2.888 , -1.435
304 , -5.522 , -1.446
320 , -9.901 , -1.427
336 , -7.771 , -1.420
352 , -10.251 , -1.398
368 , -14.742 , -1.228
384 , -16.083 , -1.284
400 , -16.094 , -1.087
416 , -20.580 , 0.466
432 , -10.916 , 1.230
448 , -4.886 , 1.408
464 , 17.881 , 1.375
480 , -1.324 , -1.801
496 , -5.452 , -1.734
512 , -3.146 , -1.631
528 , -6.609 , -1.608
544 , -9.380 , -1.592
560 , -4.697 , -1.599
576 , -6.087 , -1.599
592 , -4.527 , -1.552
608 , -6.080 , -1.606
624 , -1.890 , -1.579
640 , -0.502 , -1.566
656 , 2.336 , -1.556
672 , 4.324 , -1.547
688 , 26.205 , -1.594
704 , 11.302 , 1.513
720 , 5.100 , 1.465
736 , 2.583 , 1.505
752 , -3.172 , 1.411
768 , -3.155 , 1.467
784 , -5.821 , 1.414
800 , -2.154 , 1.488
816 , -5.348 , 1.411
832 , 1.995 , 1.514
848 , -0.685 , 1.447
864 , 1.455 , 1.397
880 , 4.983 , 1.460
896 , 7.523 , 1.445
912 , 22.869 , 1.423
928 , 8.745 , -1.957
944 , 1.967 , -1.913
960 , 3.980 , -1.716
976 , -1.003 , -1.716
992 , -6.412 , -1.498
1008 , -5.095 , -2.230
1024 , -11.307 , -2.193
1040 , -0.665 , -1.748
1056 , -16.578 , -1.434
1072 , -5.440 , 2.107
1088 , -2.341 , -1.931
1104 , -4.584 , -2.296
1120 , -1.880 , -2.478
1136 , 21.886 , 1.890
1152 , 15.988 , -1.362
1168 , 8.622 , -1.384
1184 , 4.724 , -1.296
1200 , 2.707 , -1.362
1216 , -0.063 , -1.271
1232 , -4.116 , -1.189
1248 , 0.409 , -1.228
1264 , -1.110 , -1.389
1280 , 2.080 , -1.215
1296 , 2.845 , -1.212
1312 , 6.451 , -1.388
1328 , 5.507 , -1.081
1344 , 10.093 , -1.274
1360 , 25.537 , -1.452
1376 , 19.385 , 1.607
1392 , 9.211 , 1.615
1408 , 6.965 , 1.759
1424 , 1.702 , 1.745
1440 , -9.959 , 2.669
