16 , 5.561 , 3.142
32 , 9.698 , -2.689
48 , 3.477 , 1.021
64 , 3.996 , -0.086
80 , 2.375 , -1.251
96 , 1.831 , 1.774
112 , 2.134 , -0.655
128 , 2.159 , 1.765
144 , 3.952 , -0.489
160 , 1.552 , 2.553
176 , -9.744 , -1.332
192 , -7.750 , -2.730
208 , -11.304 , 2.133
224 , -26.611 , 1.664
240 , -14.284 , -3.129
256 , -16.182 , 2.211
272 , -23.593 , -2.924
288 , -10.386 , 2.425
304 , -14.177 , 2.008
320 , -11.074 , -2.830
336 , -13.049 , 0.729
352 , -21.866 , -1.729
368 , -18.252 , 2.588
384 , -31.549 , 1.366
400 , -18.643 , -2.499
416 , -25.699 , 0.061
432 , -18.590 , 2.590
448 , -30.765 , -1.340
464 , -18.240 , -2.515
480 , -22.108 , 1.789
496 , -13.263 , -0.678
512 , -10.824 , 2.926
528 , -13.974 , -1.931
544 , -10.502 , -2.359
560 , -23.781 , 2.898
576 , -16.430 , -2.151
592 , -14.445 , -3.107
608 , -27.201 , -1.520
624 , -11.588 , -2.080
640 , -7.834 , 2.770
656 , -9.934 , 1.377
672 , 1.260 , -2.455
688 , 4.093 , 0.556
704 , 2.110 , -1.685
720 , 2.171 , 0.747
736 , 1.665 , -1.712
752 , 2.572 , 1.333
768 , 3.697 , 0.149
784 , 2.906 , -1.022
800 , 9.991 , 2.776
